team,player,position,age,salary_millions
Atlanta Falcons,Chris Osei,Guard,26,6.1
Atlanta Falcons,Devon Price,Center,30,11.34
Atlanta Falcons,Sam Lopez,Forward,27,7.5
Dallas Lions,Alex Carter,Forward,29,14.48
Dallas Lions,Jordan Miles,Guard,24,8.2
Dallas Lions,Riley Nguyen,Center,31,11.7
Detroit Tigers,Nina Thomas,Guard,22,4.1
Minneapolis Wolves,Ella Park,Forward,26,6.2
Minneapolis Wolves,Ethan Hale,Guard,23,4.9
Orlando Knights,Amir Diaz,Forward,28,8.22
Orlando Knights,Lia Baker,Guard,25,5.9
Sacramento Kings,Omar Singh,Center,27,6.8
San Jose Sharks,Kai Ishikawa,Forward,25,5.2
San Jose Sharks,Leo Martins,Center,28,9.13
San Jose Sharks,Maya Chen,Guard,23,4.7
Seattle Storm,Sofia Reed,Center,31,10.65
Seattle Storm,Zane Garcia,Guard,29,10.07
Toronto Raptors,Ivy Lin,Center,24,5.3
Toronto Raptors,Noah Wright,Forward,27,6.6
